route_id,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,failed_runs_macos,failed_runs_windows,last_outcome,last_failed_at,top_error_signature
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > opens the linked workspace session from a run record action,automation;calendar,583,579,1,0,583,4,1,4,1,7,0.9983,2,2,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > opens the run result folder in the internal file browser,automation;browser;calendar,596,579,1,0,596,3,15,3,15,20,0.9983,2,1,passed,2026-07-08T18:47:45Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > records a timed-out automation task once and delegates retry to the runtime policy,automation;calendar,1,0,0,0,1,0,1,0,1,1,,0,0,flaky,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > records a timed-out automation task run as recoverable without an outer retry loop,automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > refreshes calendar group counts after deleting a regular schedule,automation;calendar,580,579,0,0,580,0,1,0,1,1,1.0000,0,0,passed,,TypeError: Cannot read properties of null (reading 'evaluate')
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > refreshes calendar group counts after deleting an automation task,automation;calendar,580,579,0,0,580,0,1,0,1,1,1.0000,0,0,passed,,TypeError: Cannot read properties of null (reading 'evaluate')
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > refreshes execution records after run now without a manual reload,automation;calendar,584,579,3,0,584,7,1,7,1,14,0.9948,4,3,passed,2026-07-09T12:52:38Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > renders Markdown artifact links as file names and opens them in the built-in preview,automation;calendar,596,579,1,0,596,16,2,16,2,20,0.9983,2,14,passed,2026-07-08T18:47:45Z,Error: expect(received).toBe(expected) <path> Object.is equality
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > renders run result Markdown sections and opens chat from IACT actions,automation;calendar,583,579,1,0,583,4,1,4,1,7,0.9983,2,2,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > retries a timed-out automation task run and records the recovered attempt,automation;calendar,8,0,0,0,8,8,0,8,0,8,,5,3,failed,2026-06-16T13:53:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > returns from saving a due Agent schedule before the background run finishes,automation;calendar,581,579,0,0,581,0,2,0,2,2,1.0000,0,0,passed,,Error: expect(received).toBeLessThan(expected)
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > run result !send IACT force-sends automation confirmation while session waits for approval,automation;calendar,232,232,0,0,232,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > saves an already-due Agent follow-up without waiting for scheduled dispatch,automation;calendar,598,579,0,0,598,14,5,14,5,19,1.0000,8,6,passed,2026-06-25T23:01:29Z,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
"automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > separates occurrence, recurrence, and reminder controls in the schedule editor",automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > shows a compact automation task list and focused detail action bar,automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > shows all run records in a scrollable list and defaults to the latest record,automation;calendar,582,579,1,0,582,3,1,3,1,6,0.9983,2,1,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > shows direct artifact entries from write-file tool calls when final text lacks an artifacts section,automation;calendar,590,579,1,0,590,8,4,8,4,14,0.9983,4,4,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > shows Floatboat owned events through groups instead of calendar sources,automation;calendar,583,579,0,0,583,0,4,0,4,4,1.0000,0,0,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > shows share action only for real automation groups,automation;calendar,580,579,0,0,580,0,1,0,1,1,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > shows three lane-dense overlapping timed events directly in week view,automation;calendar,181,181,0,0,181,0,0,0,0,0,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > sizes day-view dense cluster to same-start event rows (recvmMFtNOsMni),automation;calendar,134,132,0,0,134,2,0,2,0,2,1.0000,1,1,passed,2026-07-07T12:54:54Z,Error: expect(received).toBe(expected) <path> Object.is equality
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > toggles calendar groups from the header and collapses when the calendar canvas is used,automation;calendar,580,579,0,0,580,0,1,0,1,1,1.0000,0,0,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > toggles calendar groups from the header and keeps it open when clicking elsewhere,automation;calendar,2,0,0,0,2,2,0,2,0,2,,1,1,failed,2026-06-16T04:38:26Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > treats a multi-day schedule range as the repeat window when enabling recurrence,automation;calendar,586,579,0,0,586,7,0,7,0,7,1.0000,5,2,passed,2026-06-16T15:35:35Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
