route_id,platform,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,last_outcome,last_failed_at,top_error_signature
automation-run-now-interrupted-recvnypkXjIl9Q.spec.ts :: Automation Run Now interrupted session handling (recvnypkXjIl9Q) > does not show a run-failed dialog after the user manually stops the run session,windows,automation,2,2,0,0,2,0,0,0,0,0,1.0000,passed,,
automation-run-open-session-reveals-chat-recvllG8tkchDJ.spec.ts :: Automation run open-session reveals chat panel (recvllG8tkchDJ) > opening an execution record auto-opens the chat panel when it was closed,macos,automation,147,147,1,0,147,1,0,1,0,3,0.9932,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-run-open-session-reveals-chat-recvllG8tkchDJ.spec.ts :: Automation run open-session reveals chat panel (recvllG8tkchDJ) > opening an execution record auto-opens the chat panel when it was closed,windows,automation,99,98,0,0,99,1,0,1,0,1,1.0000,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-run-result-direct-entry-recvlmf3iuqrwk.spec.ts :: Automation run result direct artifact entry (recvlmF3IUQrWK) > shows result and artifact shortcuts before a long execution summary,macos,automation,148,147,1,0,148,2,0,2,0,4,0.9932,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-run-result-direct-entry-recvlmf3iuqrwk.spec.ts :: Automation run result direct artifact entry (recvlmF3IUQrWK) > shows result and artifact shortcuts before a long execution summary,windows,automation,101,98,0,0,101,2,1,2,1,3,1.0000,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-schedule-dropdown-arrow-consistency-recvkGRdzVEZkr.spec.ts :: 新建日程弹窗下拉箭头朝向一致 (recvkGRdzVEZkr) > 重复时间控件箭头与消息提醒原生 select 一样向下，而非向右,macos,automation,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
automation-schedule-dropdown-arrow-consistency-recvkGRdzVEZkr.spec.ts :: 新建日程弹窗下拉箭头朝向一致 (recvkGRdzVEZkr) > 重复时间控件箭头与消息提醒原生 select 一样向下，而非向右,windows,automation,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
"automation-schedule-time-pickers-distinct-recvkCTmzotUTt.spec.ts :: Create-schedule editor time pickers are distinct, not duplicate (recvkCTmzotUTt) > en: start and end time controls carry distinct labels and accessible names",macos,automation;calendar,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
"automation-schedule-time-pickers-distinct-recvkCTmzotUTt.spec.ts :: Create-schedule editor time pickers are distinct, not duplicate (recvkCTmzotUTt) > en: start and end time controls carry distinct labels and accessible names",windows,automation;calendar,99,98,0,0,99,0,1,0,1,1,1.0000,passed,,
"automation-schedule-time-pickers-distinct-recvkCTmzotUTt.spec.ts :: Create-schedule editor time pickers are distinct, not duplicate (recvkCTmzotUTt) > the two time pickers open independent popovers (selecting one does not bleed into the other)",macos,automation;calendar,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
"automation-schedule-time-pickers-distinct-recvkCTmzotUTt.spec.ts :: Create-schedule editor time pickers are distinct, not duplicate (recvkCTmzotUTt) > the two time pickers open independent popovers (selecting one does not bleed into the other)",windows,automation;calendar,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
"automation-schedule-time-pickers-distinct-recvkCTmzotUTt.spec.ts :: Create-schedule editor time pickers are distinct, not duplicate (recvkCTmzotUTt) > zh-CN: 起始时间与结束时间控件有独立标签和独立可访问名，可明确区分",macos,automation;calendar,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
"automation-schedule-time-pickers-distinct-recvkCTmzotUTt.spec.ts :: Create-schedule editor time pickers are distinct, not duplicate (recvkCTmzotUTt) > zh-CN: 起始时间与结束时间控件有独立标签和独立可访问名，可明确区分",windows,automation;calendar,99,98,0,0,99,0,1,0,1,1,1.0000,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > allows scrolling through multiple events in one month-view day cell,macos,automation;calendar,148,147,0,0,148,1,0,1,0,1,1.0000,passed,2026-05-31T02:49:30Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > allows scrolling through multiple events in one month-view day cell,windows,automation;calendar,100,98,0,0,100,1,1,1,1,2,1.0000,passed,2026-05-31T02:49:30Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > closes new and edit schedule editors from the top-right close control,macos,automation;calendar,161,147,0,0,161,13,1,13,1,14,1.0000,passed,2026-06-30T05:37:03Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > closes new and edit schedule editors from the top-right close control,windows,automation;calendar,117,98,0,0,117,18,1,18,1,19,1.0000,passed,2026-06-30T04:24:52Z,Error: expect(locator).toBeVisible() failed
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses dense overlapping timed events in day view,macos,automation;calendar,148,147,0,0,148,1,0,1,0,1,1.0000,passed,2026-05-31T02:49:30Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses dense overlapping timed events in day view,windows,automation;calendar,99,98,0,0,99,1,0,1,0,1,1.0000,passed,2026-05-31T02:49:30Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses lane-dense overlapping timed events in week view,macos,automation;calendar,1,0,0,0,1,1,0,1,0,1,,failed,2026-05-31T02:49:30Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses lane-dense overlapping timed events in week view,windows,automation;calendar,1,0,0,0,1,1,0,1,0,1,,failed,2026-05-31T02:49:30Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses long detail objective cards with a fade (recvmInGATp5k5),macos,automation;calendar,65,65,0,0,65,0,0,0,0,0,1.0000,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses long detail objective cards with a fade (recvmInGATp5k5),windows,automation;calendar,47,47,0,0,47,0,0,0,0,0,1.0000,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses three lane-dense overlapping timed events in week view,macos,automation;calendar,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > collapses three lane-dense overlapping timed events in week view,windows,automation;calendar,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > creates a schedule group directly from the calendar groups panel,macos,automation;calendar,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > creates a schedule group directly from the calendar groups panel,windows,automation;calendar,100,98,0,0,100,0,2,0,2,2,1.0000,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
